	location	name	open_time	tele
183	Shop 470 L4 Phase I	snidel	10:30-22:00	21170225
184	Shop 529 L5 Phase I	Sportshouse	11:00-22:00	26916856
185	Shop 485 L4 Phase I	STACCATO	11:00-22:00	25724211
186	Shop 222-223 L2 Phase I	Standard Chartered Bank	09:00-17:00 (Mon-Fri) 09:00-13:00 (Sat)	39283226
187	Shop 626 L6 Phase I	SUNING	11:00-22:00	26969616
188	Shop A323 L3 Phase III	Superdry Store	11:30 - 22:00	26026633
189	Shop 323 L3 Phase I	SWAROVSKI	10:30-22:00	26998633
190	Shop A386 L3 Phase III	Swatch	10:00 - 22:30	26130669
191	Shop 237 L2 Phase I	THE BODY SHOP	11:00-23:00	26121711
192	Shop A394 L3 Phase III	THE BODY SHOP	11:30 - 22:00	22970655
193	Shop 250A L2 Phase I	The Commercial Press	11:00-22:00 (Mon-Thu) 10:30-22:00 (Fri-Sun & PH)	26931787
194	Shop 486 L4 Phase I	The history of Whoo / 后	10:00-22:00	21112327
195	Shop 416 L4 Phase I	The LEGO Store	10:00 - 22:00	21161128
196	Shop 505 L5 Phase I	The North Face	11:00-22:00	26091110
197	Shop 525 L5 Phase I	THE OVERLANDER	10:00-22:00	34279626
198	Shop 326 L3 Phase I	Theory (Coming Soon)	TBC	
199	Shop 523 L5 Phase I	Timberland	10:00-22:00 (Mon-Thu,Sun & PH) 10:00-22:30 (Fri-Sat)	26989123
200	Shop A338 L3 Phase III	TISSOT	10:00 - 22:30	26040668
201	Shop Kiosk 3C L3 Phase I	Tom Ford Beauty	10:00-22:00	37554316
202	Shop 248&367 L3 Phase I	TOMMY HILFIGER	11:00-22:00	26081322
203	Shop 251 L2 Phase I	Toys”R”Us	11:00-22:00	26052225
204	Shop 318-319 L3 Phase I	TSL︱謝瑞麟	10:30-22:00	28386737
205	Shop L1, LB & UB L1 Phase I	UA SHATIN CINEMA TICKET OFFICE	11:30-22:30 (Mon-Fri)08:00-23:00 (Sat,Sun & PH)	39185888
206	Shop 528 L5 Phase I	Under Armour	11:00-22:00	26200783
207	Shop 225 L2 Phase I	UNIQLO	11:00-22:00 (Sun-Thu & PH) 11:00-23:00 (Fri-Sat & Before PH)	26061126
208	Shop A322 L3 Phase III	Vanilla Dew	Mon-Thur: 1100-2200, Fri - Sat: 1100-2230, Sun: 1000-2200	26289753
209	Shop 531 L5 Phase I	VANS	11:00-22:00	26871828
210	Shop 538 L5 Phase I	Victorinox	11:00-22:00	35860182
211	Shop 393 L3 Phase I	Vivienne Westwood	11:30-22:30	26093228
212	Shop 451-453 L4 Phase I	WATSONS	09:30-22:30	26066500
213	Shop 601 L6 Phase I	Watsons Health	10:00-22:00	22844017
214	Shop 387 L3 Phase I	WEEKEND BY MAXMARA	11:00-22:00 (Mon-Fri) 10:00-22:00 (Sat-Sun & PH)	27229685
215	Shop 615B L6 Phase I	WILSON COMMUNICATIONS	11:00-22:00	27711781
216	Shop A372 L3 Phase III	Wood	Mon - Fri 11:30 - 21:30 ; Sat - Sun & PH 12:00 - 22:00	26013608
217	Shop 303 L3 Phase I	Y-3	11:00-22:00	24157198
218	Shop L2_ P3 L2 Phase III	YATA	Sun - Thur 10:00 - 22:00 Fri - Sat & PH 10:00 - 22:30	26941111
219	Shop 373A L3 Phase I	YSL Beauté	10:00-22:00	21498979
220	Shop 335 L3 Phase I	ZARA	10:30-22:30	26082272
221	Shop A393a L3 Phase III	~H2O+	11:00 - 22:00	26941138
